Name:
deptinst1

Lecture slots:
MO,  8:00, 2, 1, 0
MO,  9:00, 5, 0, 0
MO, 10:00, 5, 0, 0
MO, 11:00, 5, 0, 0
MO, 12:00, 5, 0, 0
MO, 13:00, 5, 0, 0
MO, 14:00, 5, 0, 0
MO, 15:00, 5, 0, 0
MO, 16:00, 5, 0, 0
MO, 17:00, 5, 0, 0
MO, 18:00, 1, 0, 0
MO, 19:00, 1, 0, 0
MO, 20:00, 1, 0, 0
TU,  8:00, 2, 1, 0
TU,  9:30, 5, 0, 0
TU, 11:00, 5, 0, 0
TU, 12:30, 5, 0, 0
TU, 14:00, 5, 0, 0
TU, 15:30, 5, 0, 0
TU, 17:00, 5, 0, 0
TU, 18:30, 1, 0, 0

Tutorial slots:
MO,  8:00, 2, 1, 0
MO,  9:00, 6, 3, 0
MO, 10:00, 6, 3, 0
MO, 11:00, 6, 3, 0
MO, 12:00, 6, 3, 0
MO, 13:00, 6, 3, 0
MO, 14:00, 6, 3, 0
MO, 15:00, 6, 3, 0
MO, 16:00, 6, 3, 0
MO, 17:00, 6, 3, 0
MO, 18:00, 2, 0, 0
MO, 19:00, 2, 0, 0
MO, 20:00, 2, 0, 0
TU,  8:00, 2, 1, 0
TU,  9:00, 6, 3, 0
TU, 10:00, 6, 3, 0
TU, 11:00, 6, 3, 0
TU, 12:00, 6, 3, 0
TU, 13:00, 6, 3, 0
TU, 14:00, 6, 3, 0
TU, 15:00, 6, 3, 0
TU, 16:00, 6, 3, 0
TU, 17:00, 6, 3, 0
TU, 18:00, 2, 0, 0
TU, 19:00, 2, 0, 0
TU, 20:00, 2, 0, 0
FR,  8:00, 2, 0, 0
FR, 10:00, 6, 0, 0
FR, 12:00, 6, 0, 0
FR, 14:00, 6, 0, 0
FR, 16:00, 6, 0, 0
FR, 18:00, 2, 0, 0

Lectures:
CPSC 203 LEC 01, false
CPSC 203 LEC 02, false
CPSC 203 LEC 03, false
CPSC 203 LEC 04, false
CPSC 203 LEC 95, false
CPSC 215 LEC 01, false
CPSC 231 LEC 01, false
CPSC 233 LEC 01, false
CPSC 233 LEC 02, false
CPSC 265 LEC 01, false
CPSC 265 LEC 02, false
CPSC 351 LEC 01, false
CPSC 321 LEC 01, false
CPSC 331 LEC 01, false
CPSC 333 LEC 01, false
CPSC 335 LEC 01, false
CPSC 349 LEC 01, false
CPSC 355 LEC 01, false
CPSC 411 LEC 01, false
CPSC 413 LEC 01, false
CPSC 421 LEC 01, false
CPSC 433 LEC 01, false
CPSC 441 LEC 01, false
CPSC 441 LEC 02, false
CPSC 453 LEC 01, false
CPSC 455 LEC 01, false
CPSC 457 LEC 01, false
CPSC 457 LEC 02, false
CPSC 471 LEC 01, false
CPSC 481 LEC 01, false
CPSC 510 LEC 01, false
CPSC 511 LEC 01, false
CPSC 517 LEC 01, false
CPSC 519 LEC 01, false
CPSC 523 LEC 01, false
CPSC 525 LEC 01, false
CPSC 557 LEC 01, false
CPSC 559 LEC 01, false
CPSC 565 LEC 01, false
CPSC 581 LEC 01, false
CPSC 587 LEC 01, false
CPSC 589 LEC 01, false
CPSC 591 LEC 01, false
CPSC 594 LEC 01, false
SENG 311 LEC 01, false
SENG 411 LEC 01, false
SENG 411 LEC 02, false
SENG 511 LEC 01, false
SENG 513 LEC 01, false

Tutorials:
CPSC 203 LEC 01 TUT 01, false
CPSC 203 LEC 01 TUT 02, false
CPSC 203 LEC 01 TUT 03, false
CPSC 203 LEC 01 TUT 04, false
CPSC 203 LEC 01 TUT 05, false
CPSC 203 LEC 01 TUT 06, false
CPSC 203 LEC 02 TUT 07, false
CPSC 203 LEC 02 TUT 08, false
CPSC 203 LEC 02 TUT 09, false
CPSC 203 LEC 02 TUT 10, false
